n_neighbors,min_dist,trustworthiness
10,0.0,0.9642300160928058
10,0.1,0.957576763905598
20,0.0,0.9561209234193803
30,0.0,0.9525484141737621
20,0.1,0.9515603194277212
10,0.25,0.9504009236054201
30,0.1,0.9481216261166753
50,0.0,0.9476251656205851
20,0.25,0.9467475052871784
30,0.25,0.9442552246783649
50,0.1,0.9441425341250173
10,0.5,0.9433844684952142
80,0.0,0.9419282385143193
50,0.25,0.9414208413308404
80,0.1,0.9402052900904381
20,0.5,0.9395823362840968
30,0.5,0.9385592821123542
80,0.25,0.9384948932704074
50,0.5,0.9383117890260839
10,0.8,0.9370316827803948
80,0.5,0.9362926709494782
50,0.8,0.9349959215739796
30,0.8,0.9347937521609211
20,0.8,0.9344029841115334
80,0.8,0.9343871460320824
