Cluster Index,Cluster Label,Cluster Rank,Color,Num Traces,Trace Indices
1,Escape,1,#AE2012,52,"[1, 2, 4, 5, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32, 33, 37, 38, 43, 44, 46, 48, 53, 57, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 74, 76, 77, 78, 79, 80, 82]"
2,Boundary,2,#EE9B00,18,"[7, 11, 29, 34, 36, 40, 41, 45, 47, 49, 51, 54, 55, 56, 59, 71, 81, 83]"
0,Confined,3,#94D2BD,14,"[0, 3, 6, 9, 12, 31, 35, 39, 42, 50, 52, 72, 73, 75]"
