Cluster Index,Cluster Label,Cluster Rank,Color,Num Traces,Trace Indices
1,Escape,1,#AE2012,305,"[1, 2, 6, 8, 10, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 32, 34, 35, 36, 37, 39, 40, 42, 45, 46, 47, 49, 51, 53, 57, 58, 59, 60, 62, 63, 65, 68, 69, 70, 72, 75, 76, 78, 83, 84, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99, 100, 101, 102, 104, 105, 107, 110, 114, 115, 117, 118, 119, 120, 121, 122, 125, 126, 127, 128, 129, 133, 134, 137, 138, 139, 140, 141, 145, 147, 149, 151, 152, 161, 162, 163, 164, 165, 166, 167, 168, 169, 173, 174, 175, 176, 178, 180, 181, 185, 186, 187, 188, 189, 190, 192, 193, 195, 196, 197, 198, 199, 201, 203, 204, 205, 207, 209, 210, 211, 212, 217, 219, 220, 221, 222, 223, 224, 225, 227, 229, 230, 232, 233, 234, 235, 236, 238, 239, 240, 242, 244, 245, 246, 247, 249, 250, 254, 255, 256, 257, 260, 264, 266, 267, 268, 269, 270, 271, 272, 274, 276, 277, 278, 280, 281, 283, 284, 286, 288, 289, 290, 292, 293, 295, 296, 298, 300, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 318, 319, 320, 322, 325, 326, 327, 328, 332, 333, 336, 338, 339, 340, 341, 342, 343, 345, 349, 351, 352, 353, 356, 357, 358, 359, 360, 361, 362, 363, 364, 367, 369, 370, 371, 372, 373, 374, 376, 378, 379, 381, 383, 387, 389, 392, 393, 394, 396, 397, 399, 401, 402, 403, 404, 408, 409, 410, 411, 412, 413, 414, 415, 416, 418, 419, 420, 422, 423, 426, 427, 428, 429, 431, 432, 434, 435, 436, 439, 440, 441, 442, 443, 444, 446, 447, 450, 451, 452, 453, 454, 455, 456, 457, 458, 461, 463, 464, 465, 467, 471, 473, 476, 477, 478]"
0,Boundary,2,#EE9B00,150,"[0, 3, 4, 5, 7, 9, 13, 17, 18, 28, 29, 31, 33, 38, 41, 43, 44, 48, 50, 52, 54, 55, 61, 64, 66, 67, 71, 73, 74, 77, 79, 81, 82, 85, 87, 88, 97, 103, 106, 108, 109, 112, 113, 116, 123, 124, 131, 132, 135, 136, 142, 143, 144, 146, 148, 150, 153, 154, 155, 156, 159, 170, 171, 177, 179, 182, 183, 184, 191, 194, 200, 202, 206, 213, 214, 215, 216, 218, 226, 231, 241, 243, 251, 253, 258, 259, 261, 262, 263, 265, 273, 275, 279, 282, 285, 287, 291, 294, 297, 299, 301, 302, 316, 317, 321, 323, 329, 330, 334, 335, 337, 344, 346, 347, 348, 350, 354, 355, 365, 368, 375, 380, 382, 384, 385, 386, 390, 391, 395, 398, 407, 417, 425, 430, 433, 437, 438, 445, 448, 449, 459, 460, 462, 466, 468, 469, 470, 472, 475, 479]"
2,Confined,3,#94D2BD,25,"[56, 80, 86, 111, 130, 157, 158, 160, 172, 208, 228, 237, 248, 252, 324, 331, 366, 377, 388, 400, 405, 406, 421, 424, 474]"
