Cluster Index,Cluster Label,Cluster Rank,Color,Num Traces,Trace Indices
1,Escape,1,#AE2012,284,"[0, 4, 5, 7, 8, 10, 11, 12, 16, 17, 18, 21, 22, 23, 24, 27, 29, 31, 32, 33, 34, 35, 36, 37, 39, 41, 44, 47, 50, 51, 52, 53, 55, 57, 58, 59, 61, 65, 68, 70, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 84, 85, 87, 89, 91, 92, 93, 94, 99, 100, 101, 102, 103, 104, 105, 106, 107, 109, 110, 111, 113, 115, 116, 119, 122, 124, 125, 126, 128, 129, 130, 132, 133, 135, 137, 139, 140, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 156, 158, 159, 160, 161, 162, 163, 164, 167, 170, 171, 174, 175, 177, 178, 179, 181, 185, 186, 187, 188, 189, 190, 195, 196, 198, 200, 201, 203, 204, 205, 206, 208, 209, 210, 212, 213, 215, 216, 218, 219, 220, 221, 223, 225, 227, 228, 230, 231, 232, 234, 235, 236, 237, 238, 241, 242, 243, 247, 250, 251, 252, 253, 254, 255, 257, 259, 260, 263, 266, 268, 269, 271, 272, 273, 274, 275, 276, 277, 278, 280, 281, 282, 284, 287, 290, 291, 292, 293, 294, 295, 296, 297, 299, 300, 301, 302, 303, 304, 306, 307, 308, 311, 312, 314, 315, 318, 321, 322, 323, 324, 325, 326, 327, 328, 329, 331, 332, 335, 337, 338, 341, 343, 344, 346, 348, 349, 350, 351, 352, 353, 355, 357, 358, 361, 362, 363, 365, 366, 367, 368, 371, 374, 375, 380, 382, 383, 384, 385, 386, 387, 391, 392, 394, 396, 397, 399, 400, 401, 403, 404, 409, 410, 411, 413, 415, 417, 418, 419, 420, 421, 424, 426, 428, 432, 434, 435, 437, 438, 439, 440, 441, 442, 443, 444]"
0,Boundary,2,#EE9B00,120,"[1, 2, 3, 6, 9, 13, 15, 20, 25, 26, 28, 30, 38, 40, 42, 45, 46, 48, 49, 54, 60, 62, 63, 64, 66, 69, 76, 82, 86, 88, 90, 95, 97, 98, 108, 112, 117, 118, 120, 121, 123, 127, 134, 138, 142, 165, 166, 168, 169, 172, 183, 184, 191, 192, 193, 194, 202, 214, 217, 222, 224, 229, 233, 239, 244, 245, 246, 249, 256, 261, 262, 264, 265, 279, 285, 286, 288, 289, 305, 309, 310, 313, 316, 319, 320, 330, 334, 336, 340, 342, 347, 356, 360, 364, 369, 372, 373, 376, 377, 378, 379, 381, 388, 389, 390, 393, 395, 398, 405, 412, 414, 416, 422, 423, 425, 427, 429, 430, 431, 433]"
2,Confined,3,#94D2BD,41,"[14, 19, 43, 56, 67, 83, 96, 114, 131, 136, 141, 155, 157, 173, 176, 180, 182, 197, 199, 207, 211, 226, 240, 248, 258, 267, 270, 283, 298, 317, 333, 339, 345, 354, 359, 370, 402, 406, 407, 408, 436]"
