Cluster Index,Cluster Label,Cluster Rank,Color,Num Traces,Trace Indices
0,Escape,1,#AE2012,106,"[0, 3, 4, 5, 6, 8, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 26, 31, 32, 33, 34, 35, 38, 40, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 56, 59, 60, 61, 62, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 84, 85, 86, 87, 90, 92, 94, 95, 97, 98, 100, 105, 106, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 121, 122, 123, 124, 127, 129, 130, 131, 132, 133, 134, 137, 139, 140, 141, 142, 144, 145, 146, 148, 153, 154, 158, 161, 162]"
2,Boundary,2,#EE9B00,34,"[2, 9, 11, 22, 25, 29, 30, 37, 41, 48, 57, 63, 64, 66, 68, 82, 83, 88, 93, 99, 102, 103, 104, 120, 125, 126, 128, 135, 138, 149, 150, 156, 157, 160]"
1,Confined,3,#94D2BD,23,"[1, 7, 10, 20, 27, 28, 36, 39, 55, 58, 65, 89, 91, 96, 101, 107, 136, 143, 147, 151, 152, 155, 159]"
