Cluster Index,Cluster Label,Cluster Rank,Color,Num Traces,Trace Indices
0,Escape,1,#AE2012,238,"[0, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 18, 20, 21, 22, 24, 25, 26, 27, 28, 32, 33, 34, 38, 39, 40, 41, 43, 44, 47, 48, 49, 52, 53, 56, 57, 59, 60, 61, 62, 65, 66, 67, 68, 69, 70, 71, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 86, 87, 90, 91, 92, 94, 95, 96, 97, 99, 101, 102, 104, 105, 106, 107, 108, 110, 111, 113, 114, 115, 116, 118, 119, 120, 123, 126, 127, 128, 130, 131, 133, 134, 135, 138, 139, 141, 145, 146, 150, 151, 152, 153, 154, 156, 158, 159, 160, 161, 162, 163, 165, 166, 168, 171, 173, 175, 177, 178, 179, 180, 181, 182, 183, 184, 186, 188, 191, 192, 193, 194, 195, 196, 201, 204, 206, 207, 208, 210, 211, 214, 218, 223, 224, 226, 228, 233, 234, 235, 236, 238, 239, 240, 242, 243, 244, 245, 248, 249, 250, 251, 252, 253, 254, 255, 257, 258, 262, 264, 265, 266, 274, 276, 277, 279, 280, 282, 285, 287, 288, 290, 292, 294, 295, 296, 300, 301, 303, 304, 305, 306, 307, 309, 310, 311, 312, 314, 315, 317, 318, 320, 321, 323, 326, 327, 328, 329, 331, 332, 334, 335, 336, 338, 339, 340, 341, 344, 345, 346, 348, 349, 355, 356, 357, 359, 360, 361, 362, 364, 365, 366, 368, 370, 371, 372, 373, 374, 376, 377]"
1,Boundary,2,#EE9B00,111,"[1, 2, 10, 16, 17, 19, 23, 29, 30, 31, 37, 42, 46, 50, 55, 58, 63, 64, 72, 73, 78, 88, 89, 93, 98, 100, 103, 109, 117, 121, 122, 124, 129, 132, 136, 137, 140, 142, 143, 144, 147, 149, 155, 157, 167, 169, 170, 172, 174, 176, 185, 187, 190, 197, 198, 199, 203, 209, 212, 215, 216, 217, 219, 222, 225, 229, 230, 232, 241, 246, 247, 256, 259, 260, 261, 263, 267, 268, 269, 270, 272, 273, 278, 281, 284, 286, 293, 297, 298, 299, 302, 313, 319, 322, 324, 325, 330, 337, 342, 343, 347, 350, 351, 352, 353, 354, 358, 363, 367, 369, 375]"
2,Confined,3,#94D2BD,30,"[5, 35, 36, 45, 51, 54, 85, 112, 125, 148, 164, 189, 200, 202, 205, 213, 220, 221, 227, 231, 237, 271, 275, 283, 289, 291, 308, 316, 333, 378]"
